Provinsi,Komoditas,Tahun,Luas Panen,Produksi
KALIMANTAN TIMUR,Jagung,2023,1786.83,10466.97
KALIMANTAN UTARA,Jagung,1993,0.0,0.0
KALIMANTAN UTARA,Jagung,1994,0.0,0.0
KALIMANTAN UTARA,Jagung,1995,0.0,0.0
KALIMANTAN UTARA,Jagung,1996,0.0,0.0
KALIMANTAN UTARA,Jagung,1997,0.0,0.0
KALIMANTAN UTARA,Jagung,1998,0.0,0.0
KALIMANTAN UTARA,Jagung,1999,0.0,0.0
KALIMANTAN UTARA,Jagung,2000,0.0,0.0
KALIMANTAN UTARA,Jagung,2001,0.0,0.0
KALIMANTAN UTARA,Jagung,2002,0.0,0.0
KALIMANTAN UTARA,Jagung,2003,0.0,0.0
KALIMANTAN UTARA,Jagung,2004,0.0,0.0
KALIMANTAN UTARA,Jagung,2005,0.0,0.0
KALIMANTAN UTARA,Jagung,2006,0.0,0.0
KALIMANTAN UTARA,Jagung,2007,0.0,0.0
KALIMANTAN UTARA,Jagung,2008,0.0,0.0
KALIMANTAN UTARA,Jagung,2009,0.0,0.0
KALIMANTAN UTARA,Jagung,2010,0.0,0.0
KALIMANTAN UTARA,Jagung,2011,0.0,0.0
KALIMANTAN UTARA,Jagung,2012,0.0,0.0
KALIMANTAN UTARA,Jagung,2013,445.0,973.0
KALIMANTAN UTARA,Jagung,2014,581.0,1235.0
KALIMANTAN UTARA,Jagung,2015,474.0,1032.0
KALIMANTAN UTARA,Jagung,2020,292.82,1169.07
KALIMANTAN UTARA,Jagung,2021,75.36,385.1
KALIMANTAN UTARA,Jagung,2022,163.32,859.57
KALIMANTAN UTARA,Jagung,2023,211.58,1025.1
KEP. BANGKA BELITUNG,Jagung,1993,0.0,0.0
KEP. BANGKA BELITUNG,Jagung,1994,0.0,0.0
KEP. BANGKA BELITUNG,Jagung,1995,0.0,0.0
KEP. BANGKA BELITUNG,Jagung,1996,0.0,0.0
KEP. BANGKA BELITUNG,Jagung,1997,0.0,0.0
KEP. BANGKA BELITUNG,Jagung,1998,0.0,0.0
KEP. BANGKA BELITUNG,Jagung,1999,0.0,0.0
KEP. BANGKA BELITUNG,Jagung,2000,0.0,0.0
KEP. BANGKA BELITUNG,Jagung,2001,545.0,1112.0
KEP. BANGKA BELITUNG,Jagung,2002,434.0,931.0
KEP. BANGKA BELITUNG,Jagung,2003,708.0,2053.0
KEP. BANGKA BELITUNG,Jagung,2004,1076.0,3199.0
KEP. BANGKA BELITUNG,Jagung,2005,945.0,2762.0
